EtuNimi Sukunimi	St 	1 	2 	3 	Mp 	Ms 	Voittosumma 	¤/St 	V% 	S%
Vesa Tenkanen 	14 	0 	3 	0 	3 	8 	1460 	104 	0 	21
Jari Ruuskanen 	17 	3 	0 	1 	6 	7 	1450 	85 	18 	24
Marjut Eero 	7 	1 	0 	2 	1 	3 	1440 	205 	14 	43
Allan Nyman 	14 	0 	1 	0 	4 	9 	1440 	102 	0 	7
Ilkka Loponen 	14 	0 	1 	2 	5 	6 	1430 	102 	0 	21
Martta Smura 	18 	0 	1 	2 	5 	10 	1421 	78 	0 	17
Esko Majala 	23 	0 	0 	4 	5 	14 	1420 	61 	0 	17
Veli-Matti Allen 	8 	0 	1 	1 	2 	4 	1400 	175 	0 	25
Markus Rauhala 	9 	0 	1 	1 	0 	7 	1400 	155 	0 	22
Heikki Tyrisevä 	3 	1 	0 	0 	2 	0 	1400 	466 	33 	33
Eero Alasaari 	18 	1 	1 	1 	6 	9 	1380 	76 	6 	17
Pentti Veteläinen 	7 	1 	0 	0 	3 	3 	1380 	197 	14 	14
Eemeli Hernesaho 	8 	1 	0 	1 	3 	3 	1370 	171 	13 	25
Matti Jesiöjärvi 	13 	1 	0 	0 	3 	9 	1360 	104 	8 	8
Petteri Salonen 	24 	0 	3 	0 	6 	15 	1360 	56 	0 	13
Jorma Tiilikainen 	28 	0 	1 	1 	5 	21 	1360 	48 	0 	7
Pekka Auhtola 	8 	3 	1 	0 	2 	2 	1350 	168 	38 	50
Ulla Koivisto 	14 	0 	2 	0 	4 	8 	1350 	96 	0 	14
Erkki Lappi 	28 	2 	1 	0 	7 	18 	1350 	48 	7 	11
Jami Mikkonen 	9 	0 	0 	1 	1 	7 	1331 	147 	0 	11
Kaisa Räsänen 	8 	1 	1 	1 	1 	4 	1310 	163 	13 	38
Antti Laukkonen 	11 	1 	1 	1 	0 	8 	1300 	118 	9 	27
Matti Lehtimäki 	7 	1 	0 	1 	0 	5 	1300 	185 	14 	29
Juha Sillanpää 	9 	0 	1 	3 	2 	3 	1300 	144 	0 	44
Santeri Oikarainen 	12 	0 	1 	1 	4 	6 	1260 	105 	0 	17
Anita Paakinaho 	15 	1 	0 	1 	2 	11 	1250 	83 	7 	13
Pasi Pykäläinen 	2 	1 	1 	0 	0 	0 	1250 	625 	50 	100
Kari Torppa 	10 	0 	1 	2 	2 	5 	1250 	125 	0 	30
Iina Palojärvi 	9 	0 	1 	1 	3 	4 	1233 	137 	0 	22
Rune Granqvist 	22 	0 	0 	1 	7 	14 	1230 	55 	0 	5
Markku Johansson 	24 	0 	0 	1 	8 	15 	1230 	51 	0 	4
Piia Talvilahti 	18 	0 	3 	1 	6 	8 	1210 	67 	0 	22
Kyösti Ruusurinne 	11 	0 	3 	2 	0 	6 	1205 	109 	0 	45
Hannu Huttunen 	2 	0 	0 	0 	2 	0 	1200 	600 	0 	0
Tarja Länsimäki 	10 	0 	1 	1 	5 	3 	1200 	120 	0 	20
Reino Sinjoi 	5 	0 	1 	0 	1 	3 	1200 	240 	0 	20
Seppo Voutilainen 	7 	1 	0 	1 	2 	3 	1200 	171 	14 	29
Juha Päkkilä 	4 	2 	0 	0 	1 	1 	1190 	297 	50 	50
Mikko Ojanperä 	20 	1 	1 	6 	6 	6 	1187 	59 	5 	40
Jouko Kurhela 	7 	0 	2 	1 	1 	3 	1180 	168 	0 	43
Jukka Kauppinen 	19 	0 	0 	1 	6 	12 	1170 	61 	0 	5
Ari Komulainen 	22 	1 	1 	1 	4 	15 	1170 	53 	5 	14
Tommi Koivurova 	9 	0 	1 	0 	2 	6 	1160 	128 	0 	11
Janne Valentin 	14 	0 	1 	0 	6 	7 	1160 	82 	0 	7
Pertti Hakkarainen 	10 	0 	2 	1 	1 	6 	1130 	113 	0 	30
Erkki Jänkälä 	14 	1 	1 	0 	4 	8 	1130 	80 	7 	14
Mikko Miettinen 	15 	0 	0 	3 	4 	8 	1120 	74 	0 	20
Antti Vaakanainen 	14 	0 	0 	2 	5 	7 	1120 	80 	0 	14
Matti Riipinen 	15 	0 	1 	2 	4 	8 	1105 	73 	0 	20
Jari Heinonen 	2 	1 	0 	1 	0 	0 	1100 	550 	50 	100
Liisa Ihamuotila 	3 	1 	0 	0 	2 	0 	1100 	366 	33 	33
