EtuNimi Sukunimi	St 	1 	2 	3 	Mp 	Ms 	Voittosumma 	¤/St 	V% 	S%
Tarmo Saarinen 	9 	0 	0 	0 	3 	6 	520 	57 	0 	0
Jouni Vaittinen 	7 	0 	0 	0 	3 	4 	520 	74 	0 	0
Robert Blomberg 	1 	0 	1 	0 	0 	0 	515 	515 	0 	100
Timo Toiva 	8 	1 	1 	1 	0 	5 	515 	64 	13 	38
Kati Särkelä 	16 	0 	0 	0 	5 	11 	506 	31 	0 	0
Mika Ahlström 	5 	0 	0 	0 	2 	3 	500 	100 	0 	0
Pekka Eskelinen 	2 	0 	1 	0 	0 	1 	500 	250 	0 	50
Reijo Juhola 	1 	0 	1 	0 	0 	0 	500 	500 	0 	100
Minna Kauhanen 	1 	0 	1 	0 	0 	0 	500 	500 	0 	100
Heini Kurri 	14 	0 	0 	1 	2 	11 	500 	35 	0 	7
Sara Laiho 	6 	0 	0 	1 	2 	3 	500 	83 	0 	17
Kimmo Pukarinen 	6 	0 	0 	1 	1 	4 	500 	83 	0 	17
Esko Saarikko 	1 	0 	1 	0 	0 	0 	500 	500 	0 	100
Essi Seppälä 	1 	0 	1 	0 	0 	0 	500 	500 	0 	100
Kaisa Tupamäki-Kukkamo 	1 	0 	1 	0 	0 	0 	500 	500 	0 	100
Markku Tynell 	2 	0 	0 	1 	1 	0 	500 	250 	0 	50
Teija Vanha-Rauvola 	2 	0 	1 	0 	0 	1 	500 	250 	0 	50
Maria Muhli 	11 	1 	0 	1 	5 	4 	499 	45 	9 	18
Jarmo Uimonen 	5 	0 	1 	1 	0 	3 	490 	98 	0 	40
Teppo Viskari 	17 	1 	1 	1 	3 	11 	480 	28 	6 	18
Mika Jokiaho 	19 	0 	0 	3 	3 	13 	470 	24 	0 	16
Timo Heikkinen 	8 	0 	1 	0 	2 	5 	464 	58 	0 	13
Mika Ahtiainen 	10 	0 	0 	0 	3 	7 	460 	46 	0 	0
Jarmo Hirvikoski 	6 	0 	1 	0 	2 	3 	460 	76 	0 	17
Sonja Julkunen 	2 	0 	2 	0 	0 	0 	460 	230 	0 	100
Pasi Peltonen 	4 	0 	0 	0 	2 	2 	460 	115 	0 	0
Juhani Tuomela 	10 	0 	0 	1 	2 	7 	460 	46 	0 	10
Tero Sulin 	2 	0 	0 	1 	0 	1 	450 	225 	0 	50
Mika Leino 	7 	0 	0 	1 	1 	5 	440 	62 	0 	14
Kalevi Punkki 	11 	0 	0 	0 	5 	6 	440 	40 	0 	0
Annika Räisänen 	7 	0 	1 	0 	4 	2 	440 	62 	0 	14
Kari Mustonen 	6 	0 	1 	0 	1 	4 	435 	72 	0 	17
Heidi Ahonen 	8 	1 	0 	0 	2 	5 	430 	53 	13 	13
Kari Aikio 	9 	0 	1 	0 	1 	7 	430 	47 	0 	11
Olli Pekkarinen 	7 	0 	0 	0 	4 	3 	430 	61 	0 	0
Aki Huhtamäki 	5 	0 	0 	1 	2 	2 	420 	84 	0 	20
Matti Simola 	5 	0 	0 	0 	3 	2 	420 	84 	0 	0
Henry Hietala 	11 	0 	0 	1 	2 	8 	415 	37 	0 	9
Erkki Suhonen 	14 	0 	1 	0 	2 	11 	410 	29 	0 	7
Mertsi Flink 	1 	0 	0 	0 	1 	0 	400 	400 	0 	0
Ville Heiskanen 	1 	0 	1 	0 	0 	0 	400 	400 	0 	100
Janne Isometsä 	5 	0 	0 	1 	1 	3 	400 	80 	0 	20
Eero Keränen 	6 	0 	1 	0 	0 	5 	400 	66 	0 	17
Kaisamaria Korhonen 	2 	0 	1 	0 	0 	1 	400 	200 	0 	50
Tuomo Laurila 	3 	0 	1 	0 	0 	2 	400 	133 	0 	33
Hanna Nurmi 	5 	0 	0 	1 	1 	3 	400 	80 	0 	20
Katri Pasanen 	2 	0 	1 	0 	0 	1 	400 	200 	0 	50
Sami Simonen 	6 	0 	1 	0 	1 	4 	400 	66 	0 	17
Sami Sistonen 	5 	0 	0 	1 	1 	3 	400 	80 	0 	20
Silja Mäkelä 	6 	0 	1 	0 	4 	1 	395 	65 	0 	17
Heidi Hietamäki 	5 	0 	1 	1 	0 	3 	390 	78 	0 	40
Kirsi Aikio 	3 	0 	0 	0 	2 	1 	360 	120 	0 	0
Hans Löfbacka 	8 	2 	0 	1 	1 	4 	360 	45 	25 	38
Nina Mattila 	7 	0 	0 	0 	3 	4 	360 	51 	0 	0
Tino Paldan 	8 	0 	0 	1 	2 	5 	360 	45 	0 	13
Enni Lahti 	8 	0 	0 	0 	3 	5 	352 	44 	0 	0
Antti Järvenoja 	3 	0 	1 	0 	0 	2 	350 	116 	0 	33
Teemu Kristo 	10 	0 	0 	2 	3 	5 	350 	35 	0 	20
Pekka Rantapere 	9 	0 	0 	0 	4 	5 	350 	38 	0 	0
Juhani Aaltonen 	9 	0 	2 	0 	3 	4 	345 	38 	0 	22
Jenni Mäntysaari 	4 	0 	0 	1 	2 	1 	340 	85 	0 	25
Timo P Niskanen 	9 	1 	0 	0 	2 	6 	340 	37 	11 	11
Hanna Kaihlajärvi 	3 	1 	1 	1 	0 	0 	335 	111 	33 	100
Juhani Sutinen 	6 	0 	0 	1 	2 	3 	330 	55 	0 	17
Marjo Ek 	16 	1 	0 	0 	3 	12 	320 	20 	6 	6
Ilkka Föhr 	9 	1 	0 	0 	1 	7 	320 	35 	11 	11
Jenni Långsved 	14 	0 	0 	2 	3 	9 	320 	22 	0 	14
Juhani Mantsinen 	13 	0 	0 	0 	3 	10 	310 	23 	0 	0
Raimo Bergman 	3 	0 	0 	0 	1 	2 	300 	100 	0 	0
Veli-Matti Heinimäki 	10 	0 	0 	0 	3 	7 	300 	30 	0 	0
Simo-Petri Hiltunen 	3 	0 	0 	0 	1 	2 	300 	100 	0 	0
Tuija Huuskonen 	4 	0 	0 	0 	1 	3 	300 	75 	0 	0
Jouko Joensuu 	3 	0 	0 	0 	1 	2 	300 	100 	0 	0
Veikko Kopola 	3 	0 	1 	0 	0 	2 	300 	100 	0 	33
Raimo Kuusi 	8 	0 	0 	1 	2 	5 	300 	37 	0 	13
Lotta Lind 	5 	0 	0 	0 	2 	3 	300 	60 	0 	0
Minna Moilanen 	1 	0 	0 	1 	0 	0 	300 	300 	0 	100
Jonne Niemelä 	3 	0 	0 	0 	2 	1 	300 	100 	0 	0
Alvari Nyman 	2 	1 	0 	0 	0 	1 	300 	150 	50 	50
Sari Parviainen 	3 	0 	1 	0 	0 	2 	300 	100 	0 	33
Marjo Soikkeli 	1 	0 	0 	0 	1 	0 	300 	300 	0 	0
Sari Sormunen 	1 	1 	0 	0 	0 	0 	300 	300 	100 	100
Jyrki Suomela 	1 	0 	0 	0 	1 	0 	300 	300 	0 	0
Riku Taipale 	2 	0 	0 	0 	2 	0 	300 	150 	0 	0
Jari Talvitie 	2 	0 	0 	1 	0 	1 	300 	150 	0 	50
Pertti Viinikanoja 	4 	0 	0 	1 	0 	3 	300 	75 	0 	25
Hanna Valkama 	4 	1 	0 	1 	1 	1 	295 	73 	25 	50
Pekka Hämäläinen 	3 	0 	1 	1 	0 	1 	290 	96 	0 	67
Pauliina Miettinen 	4 	0 	0 	0 	2 	2 	280 	70 	0 	0
Mikko Mononen 	4 	0 	0 	0 	2 	2 	280 	70 	0 	0
Petteri Tuovinen 	3 	0 	0 	0 	2 	1 	280 	93 	0 	0
Taisto Bordi 	3 	0 	0 	1 	2 	0 	276 	92 	0 	33
Hannu Hirvonen 	6 	0 	0 	1 	2 	3 	272 	45 	0 	17
Pertti Manninen 	5 	0 	0 	1 	3 	1 	270 	54 	0 	20
Jyrki Korhonen 	7 	0 	0 	0 	3 	4 	262 	37 	0 	0
Pasi Ekola 	4 	1 	1 	1 	0 	1 	260 	65 	25 	75
Manu Taittonen 	4 	0 	0 	0 	2 	2 	260 	65 	0 	0
Ronja Salo 	7 	0 	0 	1 	2 	4 	256 	36 	0 	14
Pentti Argillander 	5 	0 	0 	0 	2 	3 	250 	50 	0 	0
Tapani Hautala 	5 	0 	0 	0 	2 	3 	250 	50 	0 	0
Jorma Hölsömäki 	19 	0 	0 	0 	3 	16 	250 	13 	0 	0
Tapio Mäki-Tulokas 	1 	0 	1 	0 	0 	0 	250 	250 	0 	100
Armas Palmroos 	2 	1 	0 	0 	0 	1 	250 	125 	50 	50
Pentti Pääkkönen 	1 	0 	1 	0 	0 	0 	250 	250 	0 	100
Seppo Ruotsalainen 	1 	0 	1 	0 	0 	0 	250 	250 	0 	100
Marianne Tamminen 	10 	0 	0 	0 	3 	7 	250 	25 	0 	0
Robert Wesslin 	6 	0 	1 	0 	0 	5 	250 	41 	0 	17
Veli-Matti Pursiainen 	6 	0 	1 	0 	1 	4 	245 	40 	0 	17
Miia Jaskari 	1 	0 	0 	1 	0 	0 	240 	240 	0 	100
Matti Maunu 	1 	0 	0 	1 	0 	0 	240 	240 	0 	100
Jarno Pöllänen 	2 	0 	0 	1 	0 	1 	240 	120 	0 	50
Kari Talasmäki 	7 	0 	0 	1 	1 	5 	240 	34 	0 	14
Eveliina Talvensaari 	4 	0 	0 	1 	0 	3 	240 	60 	0 	25
Juha Tuomikoski 	2 	0 	0 	1 	0 	1 	240 	120 	0 	50
Marika Åstrand 	1 	0 	0 	1 	0 	0 	240 	240 	0 	100
Sauli Vuorenpää 	5 	0 	0 	1 	2 	2 	236 	47 	0 	20
Pekka Ruuth 	13 	0 	0 	0 	2 	11 	230 	17 	0 	0
Tea Hottinen 	5 	0 	0 	2 	0 	3 	225 	45 	0 	40
Tuuli Nöjd 	4 	0 	1 	0 	1 	2 	225 	56 	0 	25
Seppo Romo 	1 	1 	0 	0 	0 	0 	225 	225 	100 	100
Susanna Hammar 	6 	1 	1 	0 	0 	4 	220 	36 	17 	33
Rauno Leskinen 	7 	1 	0 	1 	2 	3 	220 	31 	14 	29
Eeva Naukkarinen 	7 	0 	0 	1 	1 	5 	220 	31 	0 	14
Mira Peltonen 	4 	0 	0 	0 	2 	2 	220 	55 	0 	0
Severi Ritvonen 	11 	0 	0 	0 	2 	9 	220 	20 	0 	0
Elisa Tuominen 	6 	0 	0 	0 	2 	4 	220 	36 	0 	0
Suvi Valjakka 	9 	0 	0 	1 	2 	6 	220 	24 	0 	11
Timo Väisänen 	4 	0 	2 	2 	0 	0 	218 	54 	0 	100
Tapio Aronen 	10 	0 	1 	0 	2 	7 	210 	21 	0 	10
Brita Flander 	5 	0 	0 	0 	2 	3 	210 	42 	0 	0
Susanne Söderback-Djupsjöbacka 	1 	0 	0 	1 	0 	0 	210 	210 	0 	100
Jarmo Toivanen 	7 	0 	0 	0 	3 	4 	210 	30 	0 	0
Eino Tuomi 	5 	0 	0 	1 	1 	3 	210 	42 	0 	20
Janina Glad 	2 	0 	0 	0 	1 	1 	205 	102 	0 	0
Peter Häggman 	1 	0 	0 	0 	1 	0 	205 	205 	0 	0
Olga Sehlova 	2 	0 	0 	0 	1 	1 	205 	102 	0 	0
Rauno Rekonen 	4 	1 	0 	1 	1 	1 	204 	51 	25 	50
Jouni Hallikas 	1 	0 	0 	0 	1 	0 	200 	200 	0 	0
Marko Harjula 	1 	1 	0 	0 	0 	0 	200 	200 	100 	100
Antti-Joonas Heikkinen 	6 	0 	0 	0 	1 	5 	200 	33 	0 	0
Liisi-Maija Janhunen 	3 	1 	1 	0 	0 	1 	200 	66 	33 	67
Niilo Jonninen 	6 	0 	0 	0 	1 	5 	200 	33 	0 	0
Tommi Kela 	1 	0 	0 	0 	1 	0 	200 	200 	0 	0
Mikko Koivisto 	3 	0 	0 	0 	2 	1 	200 	66 	0 	0
Iida Korhonen 	4 	1 	0 	0 	0 	3 	200 	50 	25 	25
Heli Korjansalo 	1 	1 	0 	0 	0 	0 	200 	200 	100 	100
Isto Kuisma 	8 	0 	0 	0 	1 	7 	200 	25 	0 	0
Minna Kärkkäinen 	1 	1 	0 	0 	0 	0 	200 	200 	100 	100
Taito Lehmusta 	5 	0 	0 	0 	1 	4 	200 	40 	0 	0
Kari Muhonen 	14 	0 	0 	0 	1 	13 	200 	14 	0 	0
Susanna Niinikoski 	1 	0 	0 	0 	1 	0 	200 	200 	0 	0
Tommi Nurminen 	6 	0 	0 	0 	1 	5 	200 	33 	0 	0
Vesa Regina 	2 	1 	0 	0 	0 	1 	200 	100 	50 	50
Riina Rintanen 	9 	0 	0 	0 	3 	6 	200 	22 	0 	0
Minna M Salo 	2 	0 	2 	0 	0 	0 	200 	100 	0 	100
Heli Taipale 	3 	0 	0 	0 	1 	2 	200 	66 	0 	0
Virve Vuohijoki 	8 	0 	0 	0 	2 	6 	200 	25 	0 	0
Tiina Kokkonen 	4 	0 	2 	1 	0 	1 	195 	48 	0 	75
Kari Kuusisto 	7 	0 	1 	0 	2 	4 	190 	27 	0 	14
Emma Poso 	4 	1 	1 	0 	1 	1 	190 	47 	25 	50
Janne Jokilehto 	13 	0 	0 	2 	3 	8 	184 	14 	0 	15
Mika Jutila 	9 	0 	0 	0 	2 	7 	180 	20 	0 	0
Ismo Karhulahti 	7 	0 	0 	0 	2 	5 	180 	25 	0 	0
Juha-Pekka Kavander 	5 	0 	1 	0 	1 	3 	180 	36 	0 	20
Tanja Latomaa 	11 	0 	0 	1 	3 	7 	180 	16 	0 	9
Hannu Raasakka 	2 	0 	0 	0 	2 	0 	180 	90 	0 	0
Hannu Saloniemi 	1 	0 	0 	1 	0 	0 	180 	180 	0 	100
Henna Sarajärvi 	4 	0 	1 	0 	1 	2 	180 	45 	0 	25
Lauri Savinainen 	6 	0 	0 	0 	2 	4 	180 	30 	0 	0
Nina Skinnari 	14 	0 	0 	0 	3 	11 	180 	12 	0 	0
Keijo Juntunen 	4 	0 	1 	0 	1 	2 	170 	42 	0 	25
Sanna Ralli 	9 	0 	1 	1 	1 	6 	170 	18 	0 	22
Tero Sipponen 	4 	1 	0 	1 	1 	1 	169 	42 	25 	50
Jani Kupiainen 	8 	0 	0 	1 	2 	5 	165 	20 	0 	13
Birger Åstrand 	5 	0 	0 	1 	1 	3 	165 	33 	0 	20
Janika Pasi 	17 	0 	0 	2 	2 	13 	162 	9 	0 	12
Lauri Erkkilä 	5 	0 	0 	0 	2 	3 	160 	32 	0 	0
Veikko Jurvanen 	7 	0 	0 	0 	1 	6 	160 	22 	0 	0
Sirpa Koivisto 	2 	0 	0 	0 	1 	1 	160 	80 	0 	0
Tiina Koskinen 	1 	0 	0 	0 	1 	0 	160 	160 	0 	0
Tapio Kurunmäki 	4 	0 	0 	0 	3 	1 	160 	40 	0 	0
Katri Mikkola 	11 	0 	0 	0 	1 	10 	160 	14 	0 	0
Anna Niva 	1 	0 	0 	0 	1 	0 	160 	160 	0 	0
Risto Nöjd 	8 	0 	0 	0 	1 	7 	160 	20 	0 	0
Petri Parkkonen 	11 	0 	1 	0 	2 	8 	160 	14 	0 	9
Risto Rouhiainen 	8 	0 	0 	0 	1 	7 	160 	20 	0 	0
Maarit Takalo 	11 	0 	0 	0 	2 	9 	160 	14 	0 	0
Noora Veikkolainen 	1 	0 	0 	0 	1 	0 	160 	160 	0 	0
Juha Kangas 	5 	0 	1 	1 	2 	1 	155 	31 	0 	40
Paavo Aalto 	14 	0 	1 	0 	1 	12 	150 	10 	0 	7
Neea Espo 	3 	0 	1 	0 	0 	2 	150 	50 	0 	33
Heikki Grönstrand 	3 	0 	2 	0 	0 	1 	150 	50 	0 	67
Allan Hakala 	5 	0 	0 	0 	1 	4 	150 	30 	0 	0
Pekka Henttonen 	2 	0 	0 	0 	1 	1 	150 	75 	0 	0
Jani Hietanen 	1 	1 	0 	0 	0 	0 	150 	150 	100 	100
Anne-Mari Lappalainen 	8 	1 	0 	0 	0 	7 	150 	18 	13 	13
Pekka Majoniemi 	11 	0 	0 	0 	1 	10 	150 	13 	0 	0
Eero Matikainen 	2 	0 	0 	1 	0 	1 	150 	75 	0 	50
Juha Nykopp 	12 	0 	0 	0 	1 	11 	150 	12 	0 	0
Mikael Palm 	6 	0 	0 	0 	2 	4 	150 	25 	0 	0
Veli-Pekka Poikonen 	3 	0 	0 	1 	0 	2 	150 	50 	0 	33
Arimo Ruohomäki 	2 	0 	0 	1 	0 	1 	150 	75 	0 	50
Kati Suominen 	4 	0 	0 	0 	1 	3 	150 	37 	0 	0
Rainer Tuomaala 	2 	0 	0 	1 	1 	0 	145 	72 	0 	50
Janne Uotila 	9 	0 	0 	0 	2 	7 	144 	16 	0 	0
Jouni-Erkki Hiltunen 	1 	0 	0 	0 	1 	0 	140 	140 	0 	0
Aki Keskinen 	1 	0 	0 	0 	1 	0 	140 	140 	0 	0
Kari Köngäs 	7 	0 	0 	0 	2 	5 	140 	20 	0 	0
Sari Määttä 	5 	0 	0 	0 	2 	3 	140 	28 	0 	0
Niina Nissilä 	7 	0 	0 	0 	3 	4 	140 	20 	0 	0
Mira M Rytkönen 	3 	0 	0 	0 	1 	2 	140 	46 	0 	0
Niko Salonen 	3 	0 	0 	0 	1 	2 	140 	46 	0 	0
Minna Vainikka 	2 	0 	0 	0 	2 	0 	140 	70 	0 	0
Jari Vornanen 	6 	0 	0 	0 	2 	4 	140 	23 	0 	0
Niina Voutilainen 	4 	0 	0 	0 	2 	2 	140 	35 	0 	0
Harri Silakka 	5 	0 	0 	1 	1 	3 	136 	27 	0 	20
Kyösti Ahonen 	7 	0 	1 	1 	0 	5 	135 	19 	0 	29
Timo Huotari 	3 	0 	0 	0 	2 	1 	130 	43 	0 	0
Johanna Huovinen 	2 	1 	0 	1 	0 	0 	130 	65 	50 	100
Antti Laihola 	8 	0 	0 	2 	1 	5 	130 	16 	0 	25
Mika Lappalainen 	4 	0 	1 	0 	1 	2 	130 	32 	0 	25
Kalevi Lehkonen 	13 	0 	1 	1 	0 	11 	125 	9 	0 	15
Markku Hanhikoski 	6 	0 	0 	0 	4 	2 	124 	20 	0 	0
Ville Ala-Lantela 	10 	0 	0 	0 	2 	8 	120 	12 	0 	0
Timo Heiskanen 	6 	0 	0 	0 	2 	4 	120 	20 	0 	0
Anna Hiltunen 	1 	0 	0 	0 	1 	0 	120 	120 	0 	0
Piia Kantoluoto 	3 	0 	0 	0 	1 	2 	120 	40 	0 	0
Heli Kantonen-Heikkilä 	6 	1 	0 	0 	0 	5 	120 	20 	17 	17
Tapani Korhonen 	3 	0 	0 	1 	1 	1 	120 	40 	0 	33
Kirsi Koski 	2 	1 	0 	0 	0 	1 	120 	60 	50 	50
Kirsi Kärkkäinen 	1 	0 	0 	0 	1 	0 	120 	120 	0 	0
Dimitri Nyman 	4 	0 	0 	0 	1 	3 	120 	30 	0 	0
Ismo Pohjola 	3 	1 	0 	0 	0 	2 	120 	40 	33 	33
Matti Säteri 	1 	1 	0 	0 	0 	0 	120 	120 	100 	100
Tapio Tamminen 	5 	0 	0 	0 	1 	4 	120 	24 	0 	0
Jaakko Santala 	5 	0 	1 	1 	0 	3 	113 	22 	0 	40
Henry Baltzar 	4 	0 	1 	0 	1 	2 	110 	27 	0 	25
Sanna Leinonen 	4 	1 	0 	0 	1 	2 	110 	27 	25 	25
Arto Kirvesoja 	3 	0 	1 	1 	0 	1 	105 	35 	0 	67
Nikita Kurkinen 	3 	0 	0 	1 	1 	1 	105 	35 	0 	33
Reijo Eskelinen 	3 	0 	0 	0 	1 	2 	100 	33 	0 	0
Albert Grönstrand 	1 	1 	0 	0 	0 	0 	100 	100 	100 	100
Ville Hakala 	3 	1 	0 	0 	0 	2 	100 	33 	33 	33
Pasi Hara 	3 	1 	0 	0 	0 	2 	100 	33 	33 	33
Eerika Harala 	5 	0 	1 	0 	0 	4 	100 	20 	0 	20
Veijo Heiskari 	9 	0 	0 	0 	1 	8 	100 	11 	0 	0
Jyrki Huotari 	1 	0 	0 	0 	1 	0 	100 	100 	0 	0
Martti Hämäläinen 	1 	1 	0 	0 	0 	0 	100 	100 	100 	100
Marjukka Iltanen 	1 	0 	0 	0 	1 	0 	100 	100 	0 	0
Marika Jurvanen 	1 	0 	1 	0 	0 	0 	100 	100 	0 	100
Mika Juutila 	1 	0 	0 	0 	1 	0 	100 	100 	0 	0
Valtteri Kajula 	9 	0 	0 	0 	1 	8 	100 	11 	0 	0
Eetu Kangas 	3 	0 	0 	0 	1 	2 	100 	33 	0 	0
Anne Kinnunen 	3 	1 	0 	0 	0 	2 	100 	33 	33 	33
Otto Kiviharju 	3 	0 	1 	0 	0 	2 	100 	33 	0 	33
Tiina Kopra 	3 	0 	0 	0 	1 	2 	100 	33 	0 	0
Pekka Korhonen 	8 	1 	0 	0 	0 	7 	100 	12 	13 	13
Johanna Kyläkoski 	1 	0 	0 	0 	1 	0 	100 	100 	0 	0
Mia Liipola 	4 	0 	0 	0 	1 	3 	100 	25 	0 	0
Terhi Luokkanen 	4 	0 	0 	0 	1 	3 	100 	25 	0 	0
Satu Lyytinen 	8 	0 	0 	0 	1 	7 	100 	12 	0 	0
Lotta Majoniemi 	1 	0 	0 	0 	1 	0 	100 	100 	0 	0
Hannu Marttila 	3 	0 	0 	0 	1 	2 	100 	33 	0 	0
Auri Niskanen 	1 	0 	0 	0 	1 	0 	100 	100 	0 	0
Markku Ojala 	6 	0 	0 	0 	1 	5 	100 	16 	0 	0
Veikko Paakinaho 	1 	1 	0 	0 	0 	0 	100 	100 	100 	100
Mikko Peltonen 	7 	0 	0 	0 	1 	6 	100 	14 	0 	0
Kalevi Pietiläinen 	3 	0 	0 	0 	1 	2 	100 	33 	0 	0
Ilkka Pyysalo 	1 	0 	0 	0 	1 	0 	100 	100 	0 	0
Marko Rautiainen 	2 	0 	0 	0 	1 	1 	100 	50 	0 	0
Jari Rautio 	2 	1 	0 	0 	0 	1 	100 	50 	50 	50
Aki Saikko 	3 	0 	1 	0 	0 	2 	100 	33 	0 	33
Irina Sarin 	5 	0 	0 	0 	2 	3 	100 	20 	0 	0
Tiina Valtonen 	2 	0 	0 	0 	1 	1 	100 	50 	0 	0
Stefan Westerlund 	9 	0 	0 	0 	1 	8 	100 	11 	0 	0
Stefan Willstedt 	1 	0 	0 	0 	1 	0 	100 	100 	0 	0
Sanna Yli-Heikkuri 	3 	0 	0 	0 	1 	2 	100 	33 	0 	0
Mika Yli-Kivistö 	3 	0 	0 	0 	1 	2 	100 	33 	0 	0
Jari Äikäs 	3 	0 	0 	0 	1 	2 	100 	33 	0 	0
Jenna Jylkkä 	6 	0 	0 	0 	3 	3 	99 	16 	0 	0
Tuire Roth 	8 	0 	0 	1 	3 	4 	97 	12 	0 	13
Esa Siirilä 	6 	0 	0 	1 	2 	3 	94 	15 	0 	17
Antti Ihaksi 	1 	0 	0 	1 	0 	0 	90 	90 	0 	100
Erkki Koivisto 	6 	0 	0 	2 	0 	4 	90 	15 	0 	33
Juha Lehtonen 	2 	0 	1 	0 	1 	0 	90 	45 	0 	50
Juha Riekkinen 	11 	0 	1 	1 	0 	9 	90 	8 	0 	18
Satu Riihimäki 	4 	0 	0 	0 	1 	3 	90 	22 	0 	0
Jari Mikkonen 	2 	0 	1 	0 	1 	0 	87 	43 	0 	50
Tuomo Kousa 	9 	0 	0 	1 	1 	7 	86 	9 	0 	11
Pasi Väisänen 	5 	0 	1 	0 	1 	3 	85 	17 	0 	20
Jussi Tuominiemi 	6 	0 	0 	0 	2 	4 	84 	14 	0 	0
Jani Ahopelto 	5 	0 	0 	0 	1 	4 	80 	16 	0 	0
Mirva Husu 	3 	0 	0 	0 	1 	2 	80 	26 	0 	0
Noora Iskanius 	6 	0 	0 	0 	1 	5 	80 	13 	0 	0
Teuvo Kangas 	10 	0 	0 	0 	1 	9 	80 	8 	0 	0
Niko Kettunen 	1 	0 	0 	0 	1 	0 	80 	80 	0 	0
Eini Korhonen 	1 	0 	0 	0 	1 	0 	80 	80 	0 	0
Anna Kuhmonen 	2 	0 	0 	0 	1 	1 	80 	40 	0 	0
Janne Kuosmanen 	1 	0 	0 	0 	1 	0 	80 	80 	0 	0
Anniina Kupiainen 	1 	0 	0 	0 	1 	0 	80 	80 	0 	0
Tapio Levänen 	8 	0 	0 	0 	2 	6 	80 	10 	0 	0
Jyrki Lind 	1 	0 	0 	0 	1 	0 	80 	80 	0 	0
Antero Lindgren 	2 	0 	0 	0 	1 	1 	80 	40 	0 	0
Markku Miettinen 	4 	0 	0 	0 	2 	2 	80 	20 	0 	0
Eero Moilanen 	5 	0 	0 	1 	1 	3 	80 	16 	0 	20
Marko Muukki 	5 	0 	0 	0 	1 	4 	80 	16 	0 	0
Viljami Nättylä 	1 	0 	0 	0 	1 	0 	80 	80 	0 	0
Jouko Pohjasenaho 	5 	0 	0 	0 	1 	4 	80 	16 	0 	0
Harri Puutio 	1 	0 	0 	0 	1 	0 	80 	80 	0 	0
Jorma Rantakeisu 	5 	0 	0 	0 	1 	4 	80 	16 	0 	0
Harri Rantala 	6 	0 	0 	0 	1 	5 	80 	13 	0 	0
Olli Vaittinen 	6 	0 	0 	0 	2 	4 	80 	13 	0 	0
Jorma Heikkinen 	4 	0 	1 	0 	0 	3 	75 	18 	0 	25
Jari Honkonen 	6 	0 	0 	0 	3 	3 	75 	12 	0 	0
Marja Huumo 	1 	0 	0 	1 	0 	0 	75 	75 	0 	100
Hannu Nahkala 	1 	0 	1 	0 	0 	0 	75 	75 	0 	100
Hanna Paananen 	2 	0 	0 	1 	0 	1 	75 	37 	0 	50
Ahti Pitkäjärvi 	1 	0 	1 	0 	0 	0 	75 	75 	0 	100
Paavo Reponen 	1 	0 	0 	1 	0 	0 	75 	75 	0 	100
Tuija Aro 	16 	0 	1 	0 	1 	14 	74 	4 	0 	6
Anna Kaakkurivaara 	2 	0 	1 	0 	1 	0 	70 	35 	0 	50
Heikki Kupsu 	10 	0 	0 	0 	1 	9 	70 	7 	0 	0
Tuomo Määttänen 	15 	0 	0 	0 	1 	14 	70 	4 	0 	0
Rauni Willman 	6 	0 	0 	0 	2 	4 	70 	11 	0 	0
Tommi Koistinen 	6 	0 	0 	1 	1 	4 	65 	10 	0 	17
Kimmo Oikarinen 	2 	0 	1 	0 	1 	0 	65 	32 	0 	50
Anna Airaksinen 	1 	0 	0 	1 	0 	0 	60 	60 	0 	100
Tuomo Heiskanen 	1 	0 	0 	1 	0 	0 	60 	60 	0 	100
Paavo Hägg 	3 	0 	0 	0 	1 	2 	60 	20 	0 	0
Mirka Juutilainen 	1 	0 	0 	1 	0 	0 	60 	60 	0 	100
Rosa Kangas 	4 	0 	0 	1 	0 	3 	60 	15 	0 	25
Sohvi Kivivuori 	1 	0 	0 	1 	0 	0 	60 	60 	0 	100
Juha-Pekka Koivu 	3 	0 	0 	1 	1 	1 	60 	20 	0 	33
Markku Leväniemi 	3 	0 	1 	0 	0 	2 	60 	20 	0 	33
Mika Lindeman 	1 	0 	0 	1 	0 	0 	60 	60 	0 	100
Susanna Mäkelä 	2 	0 	0 	0 	1 	1 	60 	30 	0 	0
Pertti Ojala 	2 	0 	0 	0 	1 	1 	60 	30 	0 	0
Peppi Paakkonen 	3 	0 	0 	0 	1 	2 	60 	20 	0 	0
Rauno Pasanen 	1 	0 	1 	0 	0 	0 	60 	60 	0 	100
Pentti Rantala 	4 	0 	0 	1 	0 	3 	60 	15 	0 	25
Marjatta Ruotsala 	1 	0 	0 	0 	1 	0 	60 	60 	0 	0
Juha-Matti Saarela 	9 	0 	1 	0 	0 	8 	60 	6 	0 	11
Riikka Savolainen 	4 	0 	0 	0 	1 	3 	60 	15 	0 	0
Matti Siren 	1 	0 	0 	1 	0 	0 	60 	60 	0 	100
Lotta Tainio 	1 	0 	0 	0 	1 	0 	60 	60 	0 	0
Ria Vaakanainen 	4 	0 	0 	0 	1 	3 	60 	15 	0 	0
Pentti Kähkönen 	3 	0 	0 	1 	1 	1 	56 	18 	0 	33
Paavo Heikkilä 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
